id,Authors,Title,Year,DOI,Link,Abstract,Pdf_path
1,"H., Hashimoto, Hirotada; S., Isobe, Shigehito; T., Minami, Tatsuya; K., Asano, Kohta; K., Sakaki, Kouji; N., Hashimoto, Naoyuki; H., Oka, Hiroshi",Hydrogen absorption and desorption properties of Li-Mg-Al-Ti-M based lightweight high entropy alloys,2025,10.1016/j.nxmate.2025.101067,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105013491804&doi=10.1016%2Fj.nxmate.2025.101067&partnerID=40&md5=cbde275dce981ee1b38fbfd8e9d7fad2,"The hydrogen absorption and desorption properties of the Li-Mg-Al-Ti-V and Li-Mg-Al-Ti-Nb lightweight high entropy alloys (HEAs) synthesized by mechanical alloying were investigated to develop hydrogen storage alloys with high gravimetric capacity. An equiatomic Li₂₀Mg₂₀Al₂₀Ti₂₀V₂₀ consists of two phases; a Ti-V based bodycentered cubic (BCC) phase and a Li-Mg based BCC phase. The alloy absorbs hydrogen up to H/M = 0.74 (2.3 wt% H₂) at 250 ℃, although the hydrogen absorption and desorption induced phase separation of Mg from the Li-Mg based BCC phase. The hydrogen absorption and desorption properties of each Li₈Mg₈Al₂₈Ti₂₈V₂₈ and Li₈Mg₈Al₂₈Ti₂₈Nb₂₈ single BCC phases were also investigated. At room temperature, they absorbed hydrogen up to H/M = 0.43 (1.1 wt% H₂) and H/M = 0.68 (1.4 wt% H₂), respectively. Unlike Li₂₀Mg₂₀Al₂₀Ti₂₀V₂₀, no clear phase separation was observed in these alloys after hydrogen absorption and desorption.",data/pdfs/2025_Hashimoto.pdf
2,"I., Belkoufa, Ikram; A., Assila, Abdelmajid; S., Sebbahi, Seddiq; A., Alaoui-Belghiti, A.; S., Laasri, S.; M., Tlemçani, Mouhaydine; E.K., Hlil, E. K.; A.E., Hajjaji, Abdelowahed El",Unlocking improved hydrogen storage: Thermodynamic tuning and ionic conductivity boost in Fe-doped Mg2NiH4,2025,10.1016/j.mtsust.2025.101172,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105009617078&doi=10.1016%2Fj.mtsust.2025.101172&partnerID=40&md5=2dadf112b18259c9d677d1b2feafdde4,"Mg₂Ni is considered a promising candidate for hydrogen storage materials due to its reasonable hydrogenation and dehydrogenation kinetics and cost-effectiveness. However, the high thermodynamic stability of Mg₂NiH₄ poses a significant challenge in terms of the operating temperature required for hydrogen release. This study investigates the crystal and electronic structure, and thermodynamic stability of Iron-doped Mg₂NiH₄ and their alloys using first-principles calculations based on density functional theory. The results demonstrate that by replacing one in sixteen Mg atoms and one in eight Ni atoms with Fe, the enthalpy of hydrogen desorption can be reduced from 65.173 to 57.58 and 50.72 kJ/mol H₂, respectively. Furthermore, the study clarifies the crystal structure and electron properties of Fe-doped Mg₂Ni and Mg₂NiH₄, highlighting the significant role of weakened covalent interactions in the H–Ni bonding that contribute to the reduced thermodynamic stability of the hy­ drides. This study demonstrates that ionic conductivity improves with the destabilization of Mg₂NiH₄, achieving up to 5 × 91.10- 1 S/cm for Mg₁₅FeNi₈H₃₂ at 400 K. Substituting magnesium (Mg) with iron (Fe) significantly impacts the electronic structure of the material. The additional d-electrons from Fe enhance the density of electronic states near the Fermi level, leading to increased charge carrier mobility and, consequently, higher conductivity. In contrast, replacing nickel (Ni) with Fe has a less pronounced effect, as both Ni and Fe are transition metals with similar electronic configurations and d-electrons near the Fermi level. This results in fewer new electronic states and a smaller increase in conductivity compared to Mg substitution.",data/pdfs/2025_Belkoufa.pdf
3,"P., Hannappel, Peter; M., Vogt, Marcus; F., Heubner, Felix; M., Balcerzak, Mateusz; T., Weissgärber, Thomas","Predicting hydrogen storage properties of multicomponent metal hydrides: Modeling of pressure, capacity, hysteresis, and slope",2025,10.1016/j.actamat.2025.121226,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008931977&doi=10.1016%2Fj.actamat.2025.121226&partnerID=40&md5=fc0c1aaf3ddfd018e4541d753f660267,"Metal hydrides are considered as an important group of materials in the future hydrogen-based economy. Their development is mostly based on time-consuming experimental trial-and-error methods. This work accelerates this pathway using a computational framework for the thermodynamic modeling of metal hydrides under para-equilibrium conditions. By employing the CALPHAD method on a six-component AB₅-type (Ce, La)(Ni, Al, Fe, Mn)₅–H system, we are able to make precise predictions regarding hydrogen absorption enthalpies, plateau pressures, and hydrogen sorption capacities. Additionally, this is the first time the hydrogenation/dehydroganation hysteresis effect has been successfully modeled using separate thermodynamic databases for hydrogen absorption and desorption. Furthermore, we introduce a method to directly calculate sloped pressure–composition–temperature (PCT) curves from X-ray diffraction data. This validation demonstrates the framework’s capability to assess the hydrogen storage properties of complex multi-component systems in an efficient manner. This work lays the groundwork for future metal hydride thermodynamic studies on a variety of material classes, as well as optimization of alloys for applications even beyond classical hydrogen storage.",data/pdfs/2025_Hannappel.pdf
4,"Z., Yang, Zexuan; Y., Wang, Yazhou; X., Lin, Xia; Y.J., Zou, Yongjing Jin; C.L., Xiang, Cuilin Li; F., Xu, Fen; L., Sun, Lixian; Y.S., Chua, Yong Shen",Vanadium induces Ni-Co MOF formation from a NiCo LDH to catalytically enhance the MgH2 hydrogen storage performance,2025,10.1016/j.jma.2025.01.012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216813808&doi=10.1016%2Fj.jma.2025.01.012&partnerID=40&md5=3a6b96a7f5ae7d9ed9952365b39f44b7,"Magnesium-based hydrogen storage materials, such as MgH₂, have attracted considerable attention because of its superior hydrogen storage capacities, inexpensive, and excellent reversibility. However, their high thermodynamic stabilities and slow kinetics lead to relatively high desorption temperatures, which severely limit the wide application of MgH₂. In this study, the inclusion of vanadium induced the formation Ni-Co metal–organic frameworks (MOF) from a NiCo layered double hydroxide (LDH), thereby increasing the number of defects and vacancies, and improving the hydrogen storage properties of MgH₂. The synthesized NiCo-MOF/V-O-doped MgH₂ system demonstrates excellent hydrogen storage capacity. More specifically, 5 wt.% of H₂ was released over 20 min at a relatively low dehydrogenation temperature of 250 °C, and almost complete dehydrogenation was achieved at 300 °C for 5 min. In addition, at 125 °C, the hydrogen storage material absorbed 5.5 wt.% H₂ in 10 min. Furthermore, the activation energy of dehydrogenation was determined to be 69.588 ± 6.302 kJ·mol⁻¹ which is significantly lower than that of the ball-milled MgH₂ (i.e., 118.649 ± 2.825 kJ·mol⁻¹). It was therefore inferred that during dehydrogenation process, a Mg₂Ni/Mg₂NiH₄ hydrogen pump is formed by Ni, while the V-H and Co-H bonds formed by Co and V during the reaction act synergistically to catalyze the absorption and desorption of hydrogen, thereby increasing the hydrogen storage capacity of MgH₂. These experiments provide new perspectives on the commercial application of MgH₂.",data/pdfs/2025_Yang.pdf
5,"H., Wan, Haiyi; L., Ran, Lei; H., Lu, Heng; J., Qiu, Junqi; H., Zhang, Huanrui; Y., Yang, Ying; Y., Chen, Yu'an; J., Wang, Jingfeng; F., Pan, Fusheng",Optimizing microstructure and enhancing hydrogen storage properties in Mg alloy via tailoring Ni and Si element,2025,10.1016/j.jma.2024.01.014,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184603213&doi=10.1016%2Fj.jma.2024.01.014&partnerID=40&md5=d9bd3896a0a640c9faffcb02f6e886e5,"The inherent thermodynamic and kinetic challenges of Mg/MgH₂ hydrogen storage materials pose significant obstacles to their development. Alloying has emerged as a highly promising strategy to overcome these challenges. In this study, we synthesized a series of Mg₉₃–Ni₇₋ₓ-Siₓ (x = 0.4, 1.6, 5) ternary alloys through microstructure optimization and particle refinement using melting and high energy ball milling techniques. We systematically investigated the effects of varying Ni and Si content on the microstructure and hydrogen storage properties of Mg-Ni-Si alloys. The results demonstrate that variations in Ni and Si content leads to the formation of different types of intermetallic compounds within the alloys, thereby influencing their hydrogen storage properties. Among the tested alloys, Mg₉₃Ni₂Si₅ exhibits superior activation and hydrogen absorption properties. The enhanced hydrogenation performance can be attributed to the precipitation of the Mg₂Si phase resulting from increased Si content, as well as the refinement of the Mg₂Ni₃Si phase and the increase in eutectic structure Mg+Mg₁₁Ni₁₂Si₁₀. Significantly, the increased intermetallic compounds provide a large number of sites and channels for the nucleation of hydrides as well as the diffusion of hydrogen. During the dehydrogenation process, Ni, serves as the predominant catalytic species, effectively promotes the dissociation of hydrogen and enhances the reaction kinetics. As a result, the hydrogen desorption of the hydrogenated Mg₉₃Ni₆.₆Si₀.₄ alloy initiates at 180 °C, with a reduced activation energy of 105.21 kJ/mol. These findings underscore the synergistic and effective roles of Ni and Si elements in enhancing the hydrogen storage properties of Mg-based materials, thus supporting the development of economically viable and promising Mg-based solid-state hydrogen storage materials.",data/pdfs/2025_Wan.pdf
6,"H., Weng, Hanbo; Q., Wang, Qian; L., Han, Linzhi; Y., Jia, Yandi; S., Cao, Shuo; Y., Ma, Yingjie; D., Xu, Daokui; S., Huang, Sensen; M., Qi, Min; Q.M., Hu, Qing Miao",Effect of Al content on hydrogen behavior of Ti-Al binary alloy,2025,10.1016/j.matdes.2025.114225,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105008354620&doi=10.1016%2Fj.matdes.2025.114225&partnerID=40&md5=fc8481a8a25344d27e61e6890901ccaa,"This study systematically explores hydrogen behavior in Ti-xAl alloys (x = 2, 4, 6, 8 wt%). Specifically, the absorption capacity and diffusion rate are evaluated using hydrogen storage experiments. Thermal gas-phase hydrogenation experiments are conducted, and the hydride precipitation at different scales is characterized. First-principles calculations are performed to analyze H occupancy stability and the interactions between Al and H atoms. The experiment results demonstrate that the addition of Al reduces hydrogen absorption capacity and diffusion rate in Ti-xAl alloys. The strong attraction of Al to the H atom in octahedral interstitial site hinders the formation of Ti-H bonds, thereby suppressing the hydride nucleation. With increasing hydrogen concentration, the dominant orientation relationship (OR) shifts from OR2 ({0001}α//{001}TiHₓ, <2 11 0> α/ <011> TiHₓ) to OR1 ({0001}α//{002}TiHₓ, <2 11 0> α//<011> TiHₓ). At lower hydrogen content (≈ 0.01 wt%), the hydride nucleation is accompanied by amount of {111} stacking faults and twins. With the increased Al content, OR1 hydride is more favorable. Above 0.5 wt% H, all the hydrides exhibit OR1 with α-Ti. Meanwhile, the variant with minimum deviation from the hydride interface and grain boundary is preferably selected. Elevated Al content diminishes strain accommodation capacity while promoting hydrogen-induced crack initiation and modifying crack propagation behavior.",data/pdfs/2025_Weng.pdf
7,"N.V., Dang, N. V.; N.T., Lan, Ngo Thi; N., Thi Mai, Nguyenthi; S.T., Ngo, Son Tung; P.T., Thu, Phung Thi; N., Tung, Nguyenthanh",Hydrogen adsorption and dissociation on AunY (n = 1-12) nanoclusters: a DFT investigation,2025,10.1039/d5ra01901j,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010702980&doi=10.1039%2Fd5ra01901j&partnerID=40&md5=b509e3f7a8cc77edafe79974b150752d,"The interaction between nanomaterial systems and hydrogen has recently emerged as a compelling studymodel, offering valuable insights for designing materials with applications in nanotechnology, catalysis, andenergy storage. Among these, transition metal-doped gold clusters exhibits intriguing stability andelectronic properties, making them promising candidates for hydrogen related processes. In this study,we employ density functional theory (DFT) to investigate the interaction between H₂ molecules andsmall-sized gold clusters doped with yttrium. Our finding reveals that most of the bare cluster structuresremain intact during the H₂ adsorption, regardless of whether the process occurs molecularly ordissociatively. A comprehensive analysis indicates that the preferred adsorption configuration is governedby multiple factors, including adsorption site (surface vs. encapsulated), relative electronegativity, and theatomic coordination number. The calculations demonstrate that dissociative adsorption of H₂ on Au₆Yand Au₁₁Y clusters is both thermodynamically and kinetically favorable. However, for AuₙY (n = 1, 4–5, 8,10) dissociative adsorption is hindered by a significant energy barrier before reaching the final state,while for species with n = 2, 3, 7, and 9 molecular adsorption is more favorable due to intrinsic energypreferences. This study provides fundamental insights into the adsorption sites and detailed analysis ofadsorption kinetics on AuₙY clusters, laying the groundwork for further theoretical an ed experimentalinvestigations into the hydrogenation process in nanostructured materials.",data/pdfs/2025_Dang.pdf
8,"J., Qi, Jiacheng; X., Zhang, Xinyi; B., Yu, Binkai; X., Xiao, Xuezhang; F., Chu, Fei; T., Ying, Tiao; X., Feng, Xingwen; J., Song, Jiangfeng; Y., Shi, Yan; H., Kou, Huaqin",Isostructural Transition of Zr0.7Hf0.15Nb0.15Co0.6Cu0.15Ni0.25 Alloy for Isotope Trapping Minimization and High-Temperature Durability Enhancement,2025,10.1002/eem2.70000,https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000210887&doi=10.1002%2Feem2.70000&partnerID=40&md5=3a19f6a7d11efaaf133e5b049dba55fb,"The launch of International Thermonuclear Experimental Reactor project pavesthe way to wide adoption of DT fusion energy as future energy source. Efficientfuel cycle to minimize strategic tritium inventory proves crucial for commerciallyviable fusion technologies. ZrCo alloy is considered as a promising candidate forfast isotope handling. However, cycling degradation caused by hydrogen-induceddisproportionation results in severe tritium trapping, thus impeding its practicalapplication. Herein, an isostructural transition is successfully constructed with lowhysterisis, ameliorated plateau flatness of pressure-composition isotherms andimproved high-temperature durability for hydrogen trapping minimization.Specifically, the optimal Zr₀.₇Hf₀.₁₅Nb₀.₁₅Co₀.₆Cu₀.₁₅Ni₀.₂₅ alloy adopts Hf-Nb andCu-Ni as Zr and Co side doping elements, exhibiting substantial thermodynamicdestabilization with nearly 90 °C reduction of delivery temperature, andsignificant kinetic promotion with a threefold lower energy barrier. Moreimportantly, both hydrogen utilization and cycling retention of optimal alloy areincreased by about twenty times compared with pristine alloy after 100 cycles at500 °C. Minimized disproportionation driving force from both isostructuraltransition and suppressed 8e hydrogen occupation realizes full potential ofoptimal alloy. This work demonstrates the effectiveness of combining isostructuraltransformation and high-temperature durability improvement to enhance thehydrogen utilization of ZrCo-based alloys and other hydrogen storage materials.",data/pdfs/2025_Qi.pdf
9,"Y., Shen, Yingying; F.J., Zhang, F. J.; H., Ma, Hengyu; Y., Zhao, Yun; Y., Wang, Yong; X., Wang, Xinfeng; X., Li, Xiuyan; Y., Luo, Youcheng; B., Lu, Bingang",Electrochemical and Kinetic Performance of Low-Cobalt and Cobalt-Free Rare-Earth AB5-Type Hydrogen Storage Alloys,2025,10.3390/ma18143317,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105011608630&doi=10.3390%2Fma18143317&partnerID=40&md5=9c9bc326baaf883537c155f37d92eb6e,"To address the high cost of cobalt in rare-earth hydrogen storage alloys, this study developedcost-effective low-cobalt and cobalt-free AB₅-type alloys. The results demonstrate that allsynthesized alloys displayed a single-phase LaNi₅ structure possessing a homogeneous elemental distribution. Low-cobalt (La, Ce) (Ni, Co, Mn, Al)₅ alloy 4SC and cobalt-free (La, Ce)(Ni, Mn, Al)₅ alloy 7D exhibited similarly excellent electrochemical performance, includinghigh discharge capacity, long cycle life, and superior high-rate discharge (HRD) capability. Inaddition, the kinetic test results show that the exchange current densities of these two alloyswere quite similar, measuring 302.97 mA g-1 and 317.70 mA g-1, respectively. However,the hydrogen diffusion coefficient of 7D was significantly higher than that of 4SC, reaching9.45 × 10⁻¹⁰ cm² s⁻¹, while that of 4SC was only 5.88 × 10⁻¹⁰ cm²/s. This work establishes atheoretical foundation for industrial-scale and cost-effective AB₅-type hydrogen storage alloys,offering significant commercial potential.",data/pdfs/2025_Shen.pdf
10,"J.B., Ponsoni, Jéssica Bruna; V., Aranda, Vinícius; W.J., Botta, W. J.; G., Zepon, Guilherme",Reversible Hydrogen Storage at Moderate Pressure-Temperature Conditions of C14 Laves Phase Alloys of the (Ti0.5-xZr0.5-xNb2x)1(Mn0.5Cr0.5)2 System,2025,10.1021/acsaem.5c00876,https://www.scopus.com/inward/record.uri?eid=2-s2.0-105007853087&doi=10.1021%2Facsaem.5c00876&partnerID=40&md5=2da11ed2167dbd7b0bd1d84ce6c64a6f,"Hydrogen is increasingly recognized as a crucialalternative to fossil fuels. Solid-state storage utilizing metal hydridesoffers a high volumetric density for effective hydrogen storage. In thisstudy, a computational thermodynamic approach was employed tod e s i g n a C₁₄ L a v e s p h a s e a l l o y s o f t h e(Ti₀.₅-xZr₀.₅-xNb₂ₓ)₁(Mn₀.₅Cr₀.₅)₂ system for hydrogen storage atmoderate pressure-temperature. Two alloys were designed, namely,(Ti₀.₅Zr₀.₅)₁(Mn₀.₅Cr₀.₅)₂ and (Ti₀.₃₃Zr₀.₃₃Nb₀.₃₃)₁(Mn₀.₅Cr₀.₅)₂, corresponding to x = 0 and x = 0.1667, respectively. These alloys weresynthesized by arc melting, structurally characterized by differenttechniques, and had their hydrogen storage properties evaluated interms of absorption kinetic, pressure-composition-isotherm diagrams, absorption/desorption reversibility, and cycling stability. Bothalloys presented hydrogen absorption/desorption reversibility under mild pressure and temperature conditions with excellent cyclingstability, making them potential candidates for different hydrogen-related technologies.",data/pdfs/2025_Ponsoni.pdf
