Alloy Name | Storage Capacity | Temperature Range | Pressure Range | Synthesis Method
MgH2 |  | 325–400 °C | 2.53–16.78 bar | 
MgH2 + 7wt% Nb2 O5 @MOF | 6.2wt% H2 | 275 °C |  | 
MgH2 + 9wt% Ni3 Mn-LDH | 3.20wt% | 235 °C |  | 
MgH2 + 9wt% Ni3 Mn-LMO | 6.10wt% H2; 4.44wt%; 6.22wt% | 190 °C; 235 °C |  | ball-milled
MgH2 + 9wt% Ni₃ Mn‑LDH |  | 300–375 °C | 1.61–10.54 bar | ball milling
MgH2 + 9wt% Ni₃ Mn‑LMO | 6.20 wt% H2 | 295 °C | 1.55–10.24 bar | ball milling
MgH₂ | 6.22 wt% |  |  | 
Ni3 Mn-LDH |  |  |  | one-step hydrothermal method
Ni3 Mn-LMO |  |  |  | annealing treatment under argon atmosphere
Ni6 MnO8 |  |  |  | ball milling
NiMn-LDH |  |  |  | hydrothermal method
NiMn-LMO |  |  |  | heat treatment; additional heat treatment
TiNb2 O7 | 7.0wt% H2 | 300 °C |  | 
V4 Nb18 O55 |  |  |  | 
