Alloy Name | Storage Capacity | Temperature Range | Pressure Range | Synthesis Method
Bi2 Mg3 |  |  |  | ball milling
Bi2 Mg3 alloy |  |  |  | ball milling
Bi2 Ti2 O7 |  | 245.6 °C |  | solvothermal method
Bi₂Mg₃ |  | 150 °C to 400 °C |  | ball milling
MgH2 | 7.5 wt. % | 335 °C |  | 
MgH2 –10 wt. % Bi2 O3 | 6.3 wt. % | 321.3 °C |  | ball milling
MgH2 –10 wt. % Bi2 Ti2 O7 | 6.59 wt. %; 6.3 wt. % | 194.3 °C; 290 °C | 3 MPa | ball milling
MgH2 –10 wt. % TiO2 |  | 200 °C | 3 MPa | ball milling
MgH2 –12 wt. % Bi2 Ti2 O7 |  |  |  | ball milling
MgH2 –6 wt. % Bi2 Ti2 O7 |  |  |  | ball milling
MgH2 –8 wt. % Bi2 Ti2 O7 |  |  |  | ball milling
MoNi alloy | 6.7 wt. % | 300 °C |  | 
o-Nb2 O5 | 5.5 wt. % | 300 °C (desorption) and 200 °C (absorption) |  | hydrothermal synthesis
TiNb2 O7 |  | 178 °C |  | ball milling (incorporated into MgH2)
