Alloy Name | Storage Capacity | Temperature Range | Pressure Range | Synthesis Method
FeTi | - | - | - | -
Ti0.45Fe0.39Mn0.16 | - | - | - | -
Ti0.5Fe0.45Mn0.05 | 1.68 wt% at 25 ◦C | between 0 and 50 ◦C | between 1 and 40 bar | induction furnace melting at 1300 °C under argon, cast in a rectangular copper mold
Ti0.5Fe0.4Mn0.1 | - | - | - | -
Ti0.6Fe0.3Mn0.1 | - | - | - | -
TiFe | - | - | - | -
TiFe (partial substitution of Fe by Ti and Mn) | - | - | - | -
TiFe0.9Mn0.1 | - | - | - | -
TiFe1−xMx (M = Cr, Mn) | - | - | - | -
TiFe2 | - | - | - | -
Ti₀.₅Fe₀.₄₅Mn₀.₀₅ | - | - | - | as-cast ingot
