Alloy Name | Storage Capacity | Temperature Range | Pressure Range | Synthesis Method
(Ti0.355V0.645)100−xMx |  |  |  | 
FeTi |  |  |  | 
Fe‑Mn‑Ti system |  |  |  | 
La0.6Y0.4Ni4.8Mn0.2 |  |  |  | 
LaNi5 |  |  |  | 
Ti0.45Fe0.39Mn0.16 |  |  |  | 
Ti0.5Fe0.45Mn0.05 | 1.68 wt% at 25 ◦C | 0 to 50 ◦C | 1 to 40 bar | induction furnace melting at 1300 °C under! argon, cast in a rectangular copper mold
Ti0.5Fe0.4Mn0.1 |  |  |  | 
Ti0.6Fe0.3Mn0.1 |  |  |  | 
TiFe |  |  |  | 
TiFe with partial substitution of Fe by Ti and Mn |  |  |  | 
TiFe0.9Mn0.1 |  |  |  | 
TiFe1−xMx (M = Cr, Mn) |  |  |  | 
TiFe2 |  |  |  | 
TiFeMn |  |  |  | induction furnace melting at 1300 °C under argon, cast in a rectangular copper mold
TiX2 (X = Cr, Mn, Fe) |  |  |  | 
Ti‑Mn alloy |  |  |  | 
Ti₀.₅Fe₀.₄₅Mn₀.₀₅ |  |  |  | 
