Alloy Name,Storage Capacity,Temperature Range,Pressure Range,Synthesis Method
"(Ti0.355V0.645)100−xMx (M = Mn, Fe, Co, Ni)",-,-,-,-
FeTi,-,-,-,-
La0.6Y0.4Ni4.8Mn0.2,-,-,-,-
LaNi5,-,-,-,-
Ti0.5Fe0.45Mn0.05,1.68 wt% at 25 ◦C,0 to 50 ◦C,1 to 40 bar,"induction furnace melting at 1300 °C under argon, cast in a rectangular copper mold (MAHYTEC Company, Dole, France)"
TiFe,-,-,-,-
TiFe-Alloy with Partial Substitution of Fe by Ti and Mn,-,-,-,-
TiFe0.9Mn0.1 Alloy,-,-,-,-
"TiFe1−xMx (M = Cr, Mn)",-,-,-,-
TiFe2,-,-,-,-
TiFe₂,-,-,-,-
Ti₀.₄₅Fe₀.₃₉Mn₀.₁₆,-,-,-,-
Ti₀.₅Fe₀.₄Mn₀.₁,-,-,-,-
Ti₀.₅Fe₀.₄₅Mn₀.₀₅,-,-,-,-
Ti₀.₆Fe₀.₃Mn₀.₁,-,-,-,-
